Line#;Rain;Temperature;RH;DewPoint;WindSpeed;GustSpeed;WindDirection;#;PLANTA;FRUTO;INCIDENCIA;SEVERIDAD (%)
713;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;80;PL008;10;0;0
714;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;81;PL009;1;0;0
715;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;82;PL009;2;0;0
716;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;83;PL009;3;0;0
717;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;84;PL009;4;0;0
718;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;85;PL009;5;0;0
719;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;86;PL009;6;0;0
720;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;87;PL009;7;0;0
721;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;88;PL009;8;0;0
722;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;89;PL009;9;1;40
723;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;90;PL009;10;0;0
724;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;91;PL010;1;0;0
725;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;92;PL010;2;0;0
726;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;93;PL010;3;0;0
727;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;94;PL010;4;0;0
728;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;95;PL010;5;0;0
729;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;96;PL010;6;0;0
730;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;97;PL010;7;0;0
731;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;98;PL010;8;1;65
732;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;99;PL010;9;0;0
733;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;100;PL010;10;0;0
