Line#;Date;;Rain (S-RGF 21246400:21256003-1), mm, PATFA1 (INIAP);Temperature (S-THC 21246400:21262596-1), *C, PATFA1 (INIAP);RH (S-THC 21246400:21262596-2), %, PATFA1 (INIAP);Dew Point (S-THC 21246400:21262596-3), *C.1, PATFA1 (INIAP);Wind Speed (S-WSB 21246400:21262656-1), m/s, PATFA1 (INIAP);Gust Speed (S-WSB 21246400:21262656-2), m/s.1, PATFA1 (INIAP);Wind Direction (S-WDA 21246400:21268488-1), *, PATFA1 (INIAP);#;PLANTA;FRUTO;INCIDENCIA;SEVERIDAD (%),Line#;Date;Rain (S-RGF 21246400:21256003-1)
730;08/15/22 08:10:00;;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;97;PL010;7;0;0,,,,,,,,,
731;08/15/22 08:15:00;;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;98;PL010;8;1;65,,,,,,,,,
732;08/15/22 08:20:00;;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;99;PL010;9;0;0,,,,,,,,,
733;08/15/22 08:25:00;;0;25,60115972;80,95736458;21,54459028;0,039930556;0,626736111;188,5104167;100;PL010;10;0;0,,,,,,,,,
,69477431;79,28651389;19,08063889;0,192708333;0,90625;165,1666667;1;PL001;1;0;0,,,,,,,,,2936;08/23/22 00:00:00;0;23
,69477431;79,28651389;19,08063889;0,192708333;0,90625;165,1666667;2;PL001;2;0;0,,,,,,,,,2937;08/23/22 00:05:00;0;23
,69477431;79,28651389;19,08063889;0,192708333;0,90625;165,1666667;3;PL001;3;1;10,,,,,,,,,2938;08/23/22 00:10:00;0;23
,69477431;79,28651389;19,08063889;0,192708333;0,90625;165,1666667;4;PL001;4;0;0,,,,,,,,,2939;08/23/22 00:15:00;0;23
,69477431;79,28651389;19,08063889;0,192708333;0,90625;165,1666667;5;PL001;5;0;0,,,,,,,,,2940;08/23/22 00:20:00;0;23
,69477431;79,28651389;19,08063889;0,192708333;0,90625;165,1666667;6;PL001;6;0;0,,,,,,,,,2941;08/23/22 00:25:00;0;23
,69477431;79,28651389;19,08063889;0,192708333;0,90625;165,1666667;7;PL001;7;0;0,,,,,,,,,2942;08/23/22 00:30:00;0;23
,69477431;79,28651389;19,08063889;0,192708333;0,90625;165,1666667;8;PL001;8;0;0,,,,,,,,,2943;08/23/22 00:35:00;0;23
,69477431;79,28651389;19,08063889;0,192708333;0,90625;165,1666667;9;PL001;9;1;90,,,,,,,,,2944;08/23/22 00:40:00;0;23
,69477431;79,28651389;19,08063889;0,192708333;0,90625;165,1666667;10;PL001;10;0;0,,,,,,,,,2945;08/23/22 00:45:00;0;23
,69477431;79,28651389;19,08063889;0,192708333;0,90625;165,1666667;11;PL002;1;0;0,,,,,,,,,2946;08/23/22 00:50:00;0;23
,69477431;79,28651389;19,08063889;0,192708333;0,90625;165,1666667;12;PL002;2;0;0,,,,,,,,,2947;08/23/22 00:55:00;0;23
,69477431;79,28651389;19,08063889;0,192708333;0,90625;165,1666667;13;PL002;3;0;0,,,,,,,,,2948;08/23/22 01:00:00;0;23
,69477431;79,28651389;19,08063889;0,192708333;0,90625;165,1666667;14;PL002;4;1;100,,,,,,,,,2949;08/23/22 01:05:00;0;23
